,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(45.2k Reviews),Public,"Mumbai,Maharashtra + 253 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(29.6k Reviews),Public,"Dublin,Dublin + 137 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(26.8k Reviews),Private,Teaneck. New Jersey. + 88 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(33.4k Reviews),Public,"Mumbai,Maharashtra + 1019 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(25.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 261 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(34.9k Reviews),Public,"Mumbai,Maharashtra + 1154 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(21.8k Reviews),Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(21.4k Reviews),Public,"Noida,Uttar Pradesh + 162 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(25.5k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 120 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.8,(19.7k Reviews),Public,"Pune,Maharashtra + 195 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(20k Reviews),Private,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.6k Reviews),Public,"Mumbai,Maharashtra + 1023 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.6k Reviews),Public,"Armonk,New York + 115 more",111 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.1,(14.2k Reviews),Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
14,Amazon,4.2,(14.2k Reviews),Private,"Seattle,Washington + 334 more",28 years old,1 Lakh+ Employees (India)
15,Larsen & Toubro ...,4.1,(19.9k Reviews),Public,"Mumbai,Maharashtra + 512 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.7k Reviews),Public,"Navi Mumbai,Maharashtra + 931 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13.2k Reviews),Public,"Gandhinagar,Gujrat + 555 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.4k Reviews),Private,"Ahmedabad,Gujrat + 737 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(10k Reviews),Private,Paris + 116 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.8k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(38.9k Reviews),Public,"Navi Mumbai,Maharashtra + 440 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12k Reviews),Public,"Gurgaon/Gurugram,Haryana + 480 more",27 years old,5k-10k Employees (India)
23,Deloitte,4.1,(8.6k Reviews),Private,"New York,New York + 131 more",177 years old,10k-50k Employees (India)
24,Tata Motors,4.1,(8.5k Reviews),Public,"Pune,Maharashtra + 379 more",77 years old,50k-1 Lakh Employees (India)
25,Reliance Retail,4.1,(13.4k Reviews),Private,"Navi Mumbai,Maharashtra + 555 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(19.8k Reviews),Public,"Mumbai,Maharashtra + 396 more",77 years old,10k-50k Employees (India)
27,WNS,3.7,(6.5k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
28,IndusInd Bank,3.8,(6.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 539 more",28 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.5k Reviews),Public,"Minato,Tokyo + 56 more",31 years old,10k-50k Employees (India)
30,Flipkart,4.2,(10.3k Reviews),Public,"Bangalore,Karnataka + 401 more",15 years old,10k-50k Employees (India)
31,Hinduja Global S...,4.0,(5.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
32,Ernst & Young,3.8,(5.6k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
33,Maruti Suzuki,4.1,(5.5k Reviews),Public,"New Delhi,Delhi + 369 more",39 years old,10k-50k Employees (India)
34,Infosys BPM,4.0,(5.4k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",20 years old,10k-50k Employees (India),
35,Samsung,4.1,(7.8k Reviews),Private,"Ridgefield Park,NJ + 419 more",84 years old,50k-1 Lakh Employees (India)
36,HSBC,4.1,(5.6k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
37,BYJU'S,3.6,(9.5k Reviews),Private,"Bangalore,Karnataka + 154 more",11 years old,1k-5k Employees (India)
